ID,Data,Produto,Categoria,Quantidade,Preco,Cidade
1,2023-03-04,Livro,Papelaria,24,343.99,Alves
2,2023-12-18,Calça,Vestuário,93,176.91,da Cruz de Goiás
3,2023-08-19,Tênis,Calçados,46,137.74,Sousa
4,2023-08-29,Livro,Papelaria,53,253.06,Rocha
5,2023-02-21,Camiseta,Vestuário,95,349.52,Pastor
6,2023-04-06,Caneta,Papelaria,99,180.68,Andrade do Sul
7,2023-08-10,Tênis,Calçados,60,468.96,Cunha
8,2023-08-19,Tênis,Calçados,97,29.2,Montenegro
9,2023-08-25,Livro,Papelaria,63,214.79,Novais
10,2023-05-23,Smartphone,Eletrônicos,85,484.11,Silva
11,2023-06-20,Camiseta,Vestuário,32,278.51,Câmara dos Dourados
12,2023-01-29,Livro,Papelaria,87,217.5,Abreu da Serra
13,2023-02-05,Camiseta,Vestuário,33,288.57,Fernandes Paulista
14,2023-01-13,Camiseta,Vestuário,67,292.2,Cunha
15,2023-06-09,Caneta,Papelaria,18,368.51,Caldeira de Minas
16,2023-11-23,Tênis,Calçados,25,72.57,Brito da Praia
17,2023-07-06,Calça,Vestuário,95,132.51,Pereira Paulista
18,2023-08-31,Caneta,Papelaria,54,294.47,Siqueira
19,2023-03-27,Caneta,Papelaria,58,434.89,Nascimento de Campos
20,2023-10-11,Camiseta,Vestuário,67,285.31,Barros da Prata
21,2023-03-07,Sandália,Calçados,46,126.91,Pires da Praia
22,2023-06-19,Tênis,Calçados,24,343.12,Santos
23,2023-02-14,Smartphone,Eletrônicos,32,372.56,Aparecida
24,2023-03-03,Caneta,Papelaria,47,126.74,Vargas
25,2023-05-14,Calça,Vestuário,86,195.09,Barros de Goiás
26,2023-10-11,Sandália,Calçados,23,271.82,Garcia
27,2023-01-28,Sandália,Calçados,66,253.31,Marques da Praia
28,2023-04-18,Smartphone,Eletrônicos,27,200.91,Freitas
29,2023-02-13,Caneta,Papelaria,2,155.84,Costela Paulista
30,2023-12-06,Calça,Vestuário,90,58.99,Pereira
31,2023-10-13,Tênis,Calçados,17,36.21,Nascimento
32,2023-11-27,Notebook,Eletrônicos,33,479.69,Castro
33,2023-05-08,Calça,Vestuário,9,425.1,Garcia de da Mata
34,2023-12-14,Smartphone,Eletrônicos,43,183.9,Rodrigues
35,2023-08-19,Sandália,Calçados,48,478.83,Vargas do Norte
36,2023-07-09,Tênis,Calçados,39,341.62,Andrade
